latitude,longitude,strata,region
42.35,-65.8167,38,4
42.35,-65.8167,38,4
42.35,-65.8167,38,4
42.5167,-65.9833,47,4
42.5167,-65.9833,47,4
42.5167,-65.9833,47,4
42.5167,-65.9833,47,4
42.5,-66.9667,39,4
42.5,-66.9667,39,4
42.5,-68,38,4
42.5,-68,38,4
42.5,-68,38,4
42.5,-68,38,4
42.5,-69.5167,37,4
42.5,-69.5167,37,4
42.5,-69.5167,37,4
42.5,-70.0167,36,4
42.5,-70.0167,36,4
42.5,-70.0167,36,4
42.5,-70.0167,36,4
42.5,-70.0167,36,4
43.25,-70.0167,36,4
43.25,-70.0167,36,4
43.25,-70.0167,36,4
43.25,-70.0167,36,4
43,-70.25,36,4
43,-70.25,36,4
43,-70.25,36,4
42.7333,-70.25,36,4
42.7333,-70.25,36,4
42.7333,-70.25,36,4
42.7333,-70.25,36,4
42.7333,-70.25,36,4
41.1,-71.6667,21,2
41.1,-71.6667,21,2
41.1,-71.6667,21,2
41.1,-71.6667,21,2
41.1,-71.6667,21,2
41.1,-71.6667,21,2
41.1167,-71.1667,20,2
41.1167,-71.1667,20,2
41.1167,-71.1667,20,2
41.1167,-71.1667,20,2
41.1167,-71.1667,20,2
40.5333,-70.9833,19,2
40.5333,-70.9833,19,2
40.5333,-70.9833,19,2
40.5333,-70.9833,19,2
40.9333,-70.9,20,2
40.9333,-70.9,20,2
40.9333,-70.9,20,2
40.9333,-70.9,20,2
40.9333,-70.9,20,2
40.9333,-70.9,20,2
40.6833,-71.3667,19,2
40.6833,-71.3667,19,2
40.6833,-71.3667,19,2
40.6833,-71.3667,19,2
40.6833,-71.3667,19,2
40.5667,-72.2,20,2
40.5667,-72.2,20,2
40.5667,-72.2,20,2
40.5667,-72.2,20,2
40.5667,-72.2,20,2
40.5667,-71.7833,19,2
40.5667,-71.7833,19,2
40.5667,-71.7833,19,2
40.3333,-71.8167,19,2
40.3333,-71.8167,19,2
40.3333,-71.8167,19,2
40.3333,-71.8167,19,2
40.3333,-71.8167,19,2
40.2667,-71.3833,19,2
40.2667,-71.3833,19,2
40.2667,-71.3833,19,2
40.2667,-71.3833,19,2
40.3,-70.2833,23,2
40.3,-70.2833,23,2
40.3,-70.2833,23,2
40.3,-70.2833,23,2
40.3,-70.2833,23,2
40.3167,-69.6333,23,2
40.3167,-69.6333,23,2
40.1333,-69.5667,23,2
40.1333,-69.5667,23,2
40.1333,-69.5667,23,2
40.1333,-69.5667,23,2
40.1333,-69.5667,23,2
40.4833,-69.25,23,2
40.4833,-69.25,23,2
40.4833,-69.25,23,2
40.4833,-69.25,23,2
40.6,-68.9,23,2
40.6,-68.9,23,2
40.6,-68.9,23,2
40.5667,-68.7167,27,3
40.5667,-68.7167,27,3
40.5667,-68.7167,27,3
40.3,-68.85,23,2
40.3,-68.85,23,2
40.3,-68.85,23,2
40.3,-68.85,23,2
40.3,-68.85,23,2
40.3167,-68.65,27,3
40.3167,-68.65,27,3
40.3167,-68.65,27,3
40.3167,-68.65,27,3
40.6,-68,27,3
40.6,-68,27,3
40.6,-68,27,3
40.6,-68,27,3
40.9167,-67.9667,30,3
40.9167,-67.9667,30,3
40.9167,-67.9667,30,3
40.9167,-67.9667,30,3
40.9167,-67.9667,30,3
41,-69.2167,24,2
41,-69.2167,24,2
41,-69.2167,24,2
41,-69.2167,24,2
41.15,-69.25,33,4
41.15,-69.25,33,4
41.15,-69.25,33,4
41.15,-69.25,33,4
40.7833,-69.4167,24,2
40.7833,-69.4167,24,2
40.7833,-69.4167,24,2
40.5,-70.1667,23,2
40.5,-70.1667,23,2
40.5,-70.1667,23,2
40.5,-70.1667,23,2
41.4833,-68.6,33,4
41.4833,-68.6,33,4
41.4833,-68.6,33,4
41.4833,-68.6,33,4
41.45,-68.4833,33,4
41.45,-68.4833,33,4
41.45,-68.4833,33,4
41.45,-68.4833,33,4
41.2333,-68.5,31,3
41.2333,-68.5,31,3
41.2333,-68.5,31,3
41.2333,-68.5,31,3
41.2333,-68.7167,33,4
41.2333,-68.7167,33,4
41.2333,-68.7167,33,4
