"","time","Temperature","Salinity","depth_bin","year","month"
"43",1984-04-23,3.24496783915693,31.9619422052687,50,1984,4
"44",1985-04-08,3.12704713344279,32.0047267085133,50,1985,4
"45",1987-04-12,3.33260082096114,32.1280889527854,50,1987,4
"46",1988-04-15,2.53168948899465,32.4230989388264,50,1988,4
"47",1991-04-11,4.06698779093848,32.28728377501,50,1991,4
"48",1992-04-09,3.06343041669499,32.1030217350409,50,1992,4
"49",1993-04-23,3.58381055750342,31.9710124641411,50,1993,4
"50",1994-04-19,4.88125526043821,32.4773817414704,50,1994,4
"51",1995-04-19,4.22914345587631,32.2203808584406,50,1995,4
"52",1996-04-23,4.36718146689583,32.1437737170884,50,1996,4
"53",1997-04-17,3.85052434000317,32.1242050069618,50,1997,4
"54",1998-04-12,3.78602107613276,31.6917915892208,50,1998,4
"55",1999-04-16,4.82728249137275,32.2534127090861,50,1999,4
"56",2000-04-18,5.6507248933884,32.5220886837383,50,2000,4
"57",2001-04-18,3.94778543570669,32.0316230145197,50,2001,4
"58",2002-04-19,5.17861555747956,32.3280144945302,50,2002,4
"59",2003-04-16,3.79206936922239,32.4532966847182,50,2003,4
"60",2004-04-14,2.57753735387136,32.138394381263,50,2004,4
"61",2005-04-13,3.67255791133243,32.0927360910345,50,2005,4
"62",2006-04-09,4.83203850693894,32.3040711619389,50,2006,4
"63",2007-04-10,3.64057465990235,32.4669627467522,50,2007,4
"64",2008-04-18,4.38876536087323,32.4094005904989,50,2008,4
"65",2009-04-21,4.76398420306308,32.3794620321598,50,2009,4
"66",2010-04-15,5.07185106176011,32.0387314727459,50,2010,4
"67",2011-04-22,5.27211636006388,32.1883855209364,50,2011,4
"68",2012-04-14,6.29700000024611,32.4430947519118,50,2012,4
"69",2013-04-20,5.14799384972619,32.3678048392286,50,2013,4
"70",2015-04-19,4.46352756416818,32.5873624803177,50,2015,4
"71",2017-04-22,5.10093692787503,32.352558815696,50,2017,4
"72",2019-04-22,3.75801580901589,31.9488982429526,50,2019,4
"73",1976-05-19,8.07166348571901,32.8286538471465,50,1976,5
"74",1984-05-18,5.41246450096981,32.2903535481927,50,1984,5
"75",1985-05-10,4.3949310855739,32.0605124387189,50,1985,5
"76",1995-05-14,4.23542230117078,32.1709780113065,50,1995,5
"77",1996-05-13,5.60116666793823,32.3469566853841,50,1996,5
"78",1997-05-25,6.36128671633764,32.2767992397396,50,1997,5
"79",1998-05-18,5.72892479571197,31.8717218876211,50,1998,5
"80",1999-05-24,6.56651700757937,32.0315307873304,50,1999,5
"81",2001-05-02,3.97725904706522,32.1962433908003,50,2001,5
"82",2003-05-28,5.95755520826178,32.5432769073691,50,2003,5
"83",2004-05-15,4.79855656583293,32.9360167306567,50,2004,5
"84",2005-05-13,6.05602040096205,32.2243979317801,50,2005,5
"85",2006-05-11,6.40330717313554,32.5191374228753,50,2006,5
"86",2007-05-31,5.2776666862766,31.5149900285403,50,2007,5
"87",2009-05-02,4.97254449155379,32.1404557078147,50,2009,5
"88",2011-05-06,6.00775555822584,31.9675854792658,50,2011,5
"89",2012-05-07,7.41299660409287,32.4743932714161,50,2012,5
"90",2013-05-03,6.49059374290259,32.5559036212324,50,2013,5
"91",2014-05-16,6.40184348728346,32.5557396614541,50,2014,5
"92",2015-05-16,5.8552349085071,32.4868243237792,50,2015,5
"93",2016-05-26,7.90241261163882,32.4996827049182,50,2016,5
"94",2017-05-06,5.65133194670553,32.2017711860631,50,2017,5
"95",2018-05-12,7.70930555334704,32.8108490102973,50,2018,5
"96",2019-05-08,5.96188331776846,32.3514634177263,50,2019,5
